,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,73,825,828,2030.611355,1997.31,-2430.998915000004,-0.0163996694483175,2023-11-28 00:00:00,2023-11-28 06:00:00,0 days 06:00:00
1,72,831,845,2031.031985,2031.52,35.13707999999315,0.00024027932775272376,2023-11-28 12:00:00,2023-11-29 16:00:00,1 days 04:00:00
2,72,851,852,2043.150135,2033.65,-684.00972,-0.004649748854603897,2023-11-30 04:00:00,2023-11-30 06:00:00,0 days 02:00:00
3,71,855,856,2048.297845,2034.99,-944.856995000003,-0.0064970263150376795,2023-11-30 12:00:00,2023-11-30 14:00:00,0 days 02:00:00
4,71,858,894,2042.01844,2153.42,7909.510760000001,0.0545546297809143,2023-11-30 18:00:00,2023-12-03 18:00:00,3 days 00:00:00
5,70,895,905,2170.8514,2212.52,2916.801999999998,0.01919458881432412,2023-12-03 20:00:00,2023-12-04 16:00:00,0 days 20:00:00
6,70,906,913,2222.8392650000005,2200.19,-1585.4485500000328,-0.010189339983608936,2023-12-04 18:00:00,2023-12-05 08:00:00,0 days 14:00:00
7,69,917,925,2231.7826600000003,2266.41,2389.286459999969,0.015515552038566138,2023-12-05 16:00:00,2023-12-06 08:00:00,0 days 16:00:00
8,69,926,927,2278.2122000000004,2253.47,-1707.211800000041,-0.010860357959631917,2023-12-06 10:00:00,2023-12-06 12:00:00,0 days 02:00:00
9,68,930,931,2273.074505,2263.72,-636.1063400000166,-0.004115353447246672,2023-12-06 18:00:00,2023-12-06 20:00:00,0 days 02:00:00
10,68,936,938,2268.6779200000005,2242.1,-1807.298560000043,-0.01171515787485633,2023-12-07 06:00:00,2023-12-07 10:00:00,0 days 04:00:00
11,65,941,952,2326.30423,2344.84,1204.8250499999972,0.007967904524680325,2023-12-07 16:00:00,2023-12-08 14:00:00,0 days 22:00:00
12,65,954,962,2355.2976550000003,2360.04,308.25242499997785,0.0020134801178663952,2023-12-08 18:00:00,2023-12-09 10:00:00,0 days 16:00:00
13,65,965,966,2368.0968250000005,2349.72,-1194.4936250000478,-0.007760166225467047,2023-12-09 16:00:00,2023-12-09 18:00:00,0 days 02:00:00
14,65,972,973,2362.4984400000003,2355.31,-467.2486000000231,-0.0030427279350924152,2023-12-10 06:00:00,2023-12-10 08:00:00,0 days 02:00:00
15,65,977,978,2357.060295,2346.68,-674.7191750000252,-0.0044039157683067875,2023-12-10 16:00:00,2023-12-10 18:00:00,0 days 02:00:00
16,64,979,982,2360.65568,2333.5,-1737.9635199999902,-0.011503448058973076,2023-12-10 20:00:00,2023-12-11 02:00:00,0 days 06:00:00
17,67,994,995,2239.4241050000005,2232.24,-481.3350350000487,-0.0032080144997816973,2023-12-12 02:00:00,2023-12-12 04:00:00,0 days 02:00:00
18,67,997,998,2237.27088,2227.34,-665.3689599999925,-0.004438836659778955,2023-12-12 08:00:00,2023-12-12 10:00:00,0 days 02:00:00
