,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,12,599,622,12190.929005,12907.16,8594.771939999999,0.05875114150088523,2020-10-21 04:00:00,2020-10-23 02:00:00,1 days 22:00:00
1,12,639,648,13011.477985000001,12947.65,-765.9358200000206,-0.004905513814309481,2020-10-24 12:00:00,2020-10-25 06:00:00,0 days 18:00:00
2,11,663,665,13159.5097,12974.0,-2040.6067000000057,-0.01409700697283578,2020-10-26 12:00:00,2020-10-26 16:00:00,0 days 04:00:00
3,11,670,686,13108.783725000001,13600.49,5408.769024999985,0.037509679411542596,2020-10-27 02:00:00,2020-10-28 10:00:00,1 days 08:00:00
4,11,702,708,13593.890295000001,13177.73,-4577.7632450000165,-0.030613774715621322,2020-10-29 18:00:00,2020-10-30 06:00:00,0 days 12:00:00
5,11,710,712,13290.00515,13253.62,-400.23665000000074,-0.002737782987239812,2020-10-30 10:00:00,2020-10-30 14:00:00,0 days 04:00:00
6,11,713,719,13560.320015000001,13484.44,-834.680165000007,-0.0055957392536506445,2020-10-30 16:00:00,2020-10-31 04:00:00,0 days 12:00:00
7,11,721,730,13585.357515000002,13749.99,1810.957334999981,0.012118377070181818,2020-10-31 08:00:00,2020-11-01 02:00:00,0 days 18:00:00
8,11,733,734,13805.387065,13681.39,-1363.9677150000152,-0.008981788371176025,2020-11-01 08:00:00,2020-11-01 10:00:00,0 days 02:00:00
9,11,736,741,13807.74059,13752.87,-603.5764899999849,-0.0039739007002881355,2020-11-01 14:00:00,2020-11-02 00:00:00,0 days 10:00:00
10,11,774,797,14086.307815,15418.79,14657.304035000008,0.09459414081389661,2020-11-04 18:00:00,2020-11-06 16:00:00,1 days 22:00:00
11,10,800,805,15566.084155,15459.42,-1066.641550000004,-0.006852343462741661,2020-11-06 22:00:00,2020-11-07 08:00:00,0 days 10:00:00
12,10,822,829,15599.364000000001,15306.0,-2933.640000000014,-0.01880615132770802,2020-11-08 18:00:00,2020-11-09 08:00:00,0 days 14:00:00
13,10,854,862,15450.731385000001,15643.78,1930.486149999997,0.01249446451366154,2020-11-11 10:00:00,2020-11-12 02:00:00,0 days 16:00:00
14,10,864,867,15772.18284,15762.89,-92.92840000000069,-0.0005891917494408316,2020-11-12 06:00:00,2020-11-12 12:00:00,0 days 06:00:00
15,10,869,879,16148.175985,16221.99,738.1401499999993,0.004571043507858974,2020-11-12 16:00:00,2020-11-13 12:00:00,0 days 20:00:00
16,10,883,886,16306.423,16192.56,-1138.630000000012,-0.006982708592804254,2020-11-13 20:00:00,2020-11-14 02:00:00,0 days 06:00:00
17,9,919,943,16801.855035,17670.0,7813.3046849999955,0.05166959024414641,2020-11-16 20:00:00,2020-11-18 20:00:00,2 days 00:00:00
18,9,947,949,17962.463340000002,17663.13,-2694.0000600000094,-0.016664381401042316,2020-11-19 04:00:00,2020-11-19 08:00:00,0 days 04:00:00
19,9,958,975,18001.40166,18543.4,4877.985060000017,0.03010867432641917,2020-11-20 02:00:00,2020-11-21 12:00:00,1 days 10:00:00
20,9,976,980,18848.250030000003,18676.87,-1542.420270000035,-0.009092622908080328,2020-11-21 14:00:00,2020-11-21 22:00:00,0 days 08:00:00
21,9,998,1001,18695.170755,18283.31,-3706.746794999981,-0.022030328601831406,2020-11-23 10:00:00,2020-11-23 16:00:00,0 days 06:00:00
22,8,1013,1016,19398.243785,18963.54,-3477.630279999983,-0.022409440247170176,2020-11-24 16:00:00,2020-11-24 22:00:00,0 days 06:00:00
23,8,1021,1026,19020.12746,19076.17,448.3403199999884,0.0029464860379015967,2020-11-25 08:00:00,2020-11-25 18:00:00,0 days 10:00:00
24,9,1076,1096,18282.632875,18765.09,4342.114125000007,0.026388820926318557,2020-11-29 22:00:00,2020-12-01 14:00:00,1 days 16:00:00
25,9,1112,1114,19181.7295,19022.49,-1433.1554999999971,-0.008301623688312332,2020-12-02 22:00:00,2020-12-03 02:00:00,0 days 04:00:00
26,8,1117,1126,19244.80397,19335.26,723.6482399999804,0.004700283263004756,2020-12-03 08:00:00,2020-12-04 02:00:00,0 days 18:00:00
27,8,1161,1166,19404.0625,19221.39,-1461.3800000000047,-0.009414136859227318,2020-12-07 00:00:00,2020-12-07 10:00:00,0 days 10:00:00
28,9,1236,1246,18871.54492,19087.61,1944.5857200000028,0.011449252348757932,2020-12-13 06:00:00,2020-12-14 02:00:00,0 days 20:00:00
29,8,1247,1248,19292.35519,19085.53,-1654.6015199999965,-0.010720577553289368,2020-12-14 04:00:00,2020-12-14 06:00:00,0 days 02:00:00
30,8,1258,1260,19499.205,19134.14,-2920.5200000000186,-0.018722045334668924,2020-12-15 02:00:00,2020-12-15 06:00:00,0 days 04:00:00
31,8,1263,1271,19321.749215000003,19343.81,176.4862799999828,0.0011417592038132085,2020-12-15 12:00:00,2020-12-16 04:00:00,0 days 16:00:00
32,8,1273,1299,19448.62925,22910.0,27690.965999999986,0.17797504932127794,2020-12-16 08:00:00,2020-12-18 12:00:00,2 days 04:00:00
33,8,1312,1318,23234.810015,23507.92,2184.879879999993,0.011754345519661369,2020-12-19 14:00:00,2020-12-20 02:00:00,0 days 12:00:00
34,8,1321,1328,23688.669785,23396.0,-2341.358279999986,-0.012354842532581567,2020-12-20 08:00:00,2020-12-20 22:00:00,0 days 14:00:00
35,8,1331,1334,23998.7442,23477.81,-4167.4735999999975,-0.02170672747118163,2020-12-21 04:00:00,2020-12-21 10:00:00,0 days 06:00:00
36,8,1377,1410,23774.358125000002,26840.3,24527.534999999974,0.1289600273908551,2020-12-25 00:00:00,2020-12-27 18:00:00,2 days 18:00:00
37,7,1414,1418,27118.887405,26864.97,-1777.421835000001,-0.009363120293540694,2020-12-28 02:00:00,2020-12-28 10:00:00,0 days 08:00:00
38,7,1437,1456,27443.934245000004,28544.31,7702.630284999981,0.04009540852184745,2020-12-30 00:00:00,2020-12-31 14:00:00,1 days 14:00:00
39,7,1459,1469,28960.455620000004,29210.85,1752.76065999996,0.008646078752541086,2020-12-31 20:00:00,2021-01-01 16:00:00,0 days 20:00:00
40,7,1473,1494,29381.155725000004,32979.98,25191.769924999993,0.12248749874525222,2021-01-02 00:00:00,2021-01-03 18:00:00,1 days 18:00:00
