test_id,start_time,end_time,pair,period,return_percent,return_buy_hold,win_rate,sharpe_ratio,max_drawdown,best_indicators_combination,filter_buy,trigger_buy,trade_buy,filter_sell,trigger_sell,trade_sell,total_trades,best_trade,worst_trade,average_trade,profit_factor
120,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,5.36,2.65,50.0,0.47,-25.48,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=19,rsi_layer_expensive=81,rsi_period=6,max_candles=4)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,10,7.7,-10.29,0.78,1.46
121,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,13.67,2.65,76.92,2.6,-4.08,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=20,rsi_layer_expensive=80,rsi_period=4,max_candles=4)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,13,6.11,-3.53,1.3,4.28
122,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,15.87,2.65,84.62,2.82,-3.97,"PlaygroundLouis(sma_p_long=50,ema_p_short=6,rsi_layer_cheap=20,rsi_layer_expensive=80,rsi_period=4,max_candles=4)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,13,5.53,-3.53,1.49,6.07
123,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,6.92,2.65,85.71,1.96,-3.08,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=20,rsi_layer_expensive=80,rsi_period=4,max_candles=4)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,7,3.67,-1.37,1.21,7.21
124,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,8.83,2.65,100.0,2.33,-2.87,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=20,rsi_layer_expensive=80,rsi_period=4,max_candles=4)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,7,3.67,0.44,1.51,nan
144,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,-33.22,-45.0,65.0,0.0,-54.42,"PlaygroundLouis(sma_p_long=50,ema_p_short=6,rsi_layer_cheap=21,rsi_layer_expensive=75,rsi_period=4,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,20,11.23,-33.2,-1.59,0.58
145,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,-32.97,-45.0,75.0,0.0,-55.73,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=21,rsi_layer_expensive=79,rsi_period=4,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,16,11.23,-33.2,-1.95,0.59
146,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,-32.12,-45.0,57.89,0.0,-53.63,"PlaygroundLouis(sma_p_long=50,ema_p_short=6,rsi_layer_cheap=22,rsi_layer_expensive=75,rsi_period=4,max_candles=4)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,19,11.23,-33.2,-1.62,0.61
147,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,1.51,-45.0,100.0,2.81,-1.76,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=21,rsi_layer_expensive=75,rsi_period=4,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,4,1.0,0.02,0.39,nan
148,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,1.54,-45.0,100.0,2.69,-1.76,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=21,rsi_layer_expensive=75,rsi_period=4,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,4,1.04,0.01,0.4,nan
149,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,0.95,-45.0,75.0,1.57,-1.77,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=21,rsi_layer_expensive=75,rsi_period=4,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,4,1.0,-0.54,0.25,2.89
150,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,0.98,-45.0,75.0,1.54,-1.77,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=21,rsi_layer_expensive=75,rsi_period=4,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,4,1.04,-0.55,0.26,2.9
151,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,13.96,19.76,92.31,3.37,-5.06,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,13,3.81,-2.77,1.03,5.89
152,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,22.64,19.76,85.71,2.03,-7.67,"PlaygroundLouis(sma_p_long=50,ema_p_short=9,rsi_layer_cheap=21,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,7,20.26,-3.21,3.1,8.25
153,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,9.85,19.76,75.0,2.93,-5.09,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=6,max_candles=6)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,12,3.59,-0.87,0.82,9.66
117,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,9.86,2.65,50.0,0.8,-24.94,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=20,rsi_layer_expensive=80,rsi_period=6,max_candles=4)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,12,7.97,-5.39,1.04,1.92
118,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,12.58,2.65,58.33,0.97,-23.07,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=20,rsi_layer_expensive=81,rsi_period=6,max_candles=4)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,12,7.97,-10.29,1.33,1.87
125,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,3.07,2.72,54.05,0.38,-19.85,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=18,rsi_layer_expensive=76,rsi_period=4,max_candles=4)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,37,6.62,-5.73,0.12,1.15
126,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,1.8,2.72,54.29,0.26,-16.6,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=18,rsi_layer_expensive=76,rsi_period=4,max_candles=3)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,35,6.82,-5.73,0.08,1.13
127,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,10.12,2.72,62.5,1.2,-9.71,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=18,rsi_layer_expensive=76,rsi_period=5,max_candles=2)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,8,16.86,-5.39,1.76,2.43
128,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,2.88,2.72,63.64,0.66,-5.3,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=17,rsi_layer_expensive=76,rsi_period=4,max_candles=2)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,11,9.48,-5.19,0.41,1.48
129,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,13.04,2.72,66.67,2.96,-3.22,"PlaygroundLouis(sma_p_long=48,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=77,rsi_period=4,max_candles=4)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,12,6.11,-1.37,1.35,7.26
130,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,10.07,2.72,87.5,2.77,-3.18,"PlaygroundLouis(sma_p_long=48,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=77,rsi_period=4,max_candles=2)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,8,5.89,-0.36,1.54,35.87
131,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,5.22,2.72,66.67,1.94,-3.71,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=76,rsi_period=3,max_candles=2)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,6,5.43,-1.77,1.07,3.95
